AccountId,CustomerId,CreditScore,Balance,EstimatedSalary,Tenure
1,15634602,619,.00,101348.88,2
2,15647311,608,83807.86,112542.58,1
3,15619304,502,159660.80,113931.57,8
4,15701354,699,.00,93826.63,1
5,15737888,850,125510.82,79084.10,2
6,15574012,645,113755.78,149756.70,8
7,15592531,822,.00,10062.80,7
8,15656148,376,115046.74,119346.88,4
9,15792365,501,142051.06,74940.50,4
10,15592389,684,134603.88,71725.73,2
11,15767821,528,102016.72,80181.12,6
12,15737173,497,.00,76390.01,3
13,15632264,476,.00,26260.98,10
14,15691483,549,.00,190857.80,5
15,15600882,635,.00,65951.65,7
16,15643966,616,143129.41,64327.26,3
17,15737452,653,132602.88,5097.67,1
18,15788218,549,.00,14406.41,9
19,15661507,587,.00,158684.81,6
20,15568982,726,.00,54724.03,6
21,15577657,732,.00,170886.17,8
22,15597945,636,.00,138555.45,8
23,15699309,510,.00,118913.53,4
24,15725737,669,.00,8487.75,3
25,15625047,846,.00,187616.16,5
26,15738191,577,.00,124508.29,3
27,15736816,756,136815.64,170041.95,2
28,15700772,571,.00,38433.35,9
29,15728693,574,141349.44,100187.43,3
30,15656300,411,59697.17,53483.21,0
31,15589475,591,.00,140469.38,3
32,15706552,533,85311.70,156731.91,7
33,15750181,553,110112.54,81898.81,9
34,15659428,520,.00,34410.55,6
35,15732963,722,.00,142033.06,9
36,15794171,475,134264.05,27822.99,0
37,15788448,490,145260.23,114066.77,3
38,15729599,804,76548.60,98453.45,7
39,15717426,850,.00,40812.90,7
40,15585768,582,70349.48,178074.05,6
41,15619360,472,.00,70154.22,4
42,15738148,465,122522.32,181297.66,8
43,15687946,556,117419.35,94153.83,2
44,15755196,834,131394.56,194365.77,2
45,15684171,660,155931.11,158338.39,5
46,15754849,776,109421.13,126517.46,4
47,15602280,829,112045.67,119708.21,9
48,15771573,637,137843.80,117622.80,9
49,15766205,550,103391.38,90878.13,2
50,15771873,776,103769.22,194099.13,2
51,15616550,698,116363.37,198059.16,10
52,15768193,585,146050.97,86424.57,5
53,15683553,788,.00,116978.19,5
54,15702298,655,125561.97,164040.94,8
55,15569590,601,98495.72,40014.76,1
56,15760861,619,125211.92,113410.49,1
57,15630053,656,127864.40,87107.57,5
58,15647091,725,75888.20,45613.75,0
59,15623944,511,.00,1643.11,4
60,15804771,614,40685.92,46775.28,4
61,15651280,742,136857.00,84509.57,5
62,15773469,687,152328.88,126494.82,9
63,15702014,555,56084.69,178798.13,1
64,15751208,684,78707.16,99398.36,8
65,15592461,603,109166.37,92840.67,4
66,15789484,751,169831.45,27758.36,6
67,15696061,581,101633.04,110431.51,1
68,15641582,735,123180.01,196673.28,10
69,15638424,661,150725.53,113656.85,5
70,15755648,675,98373.26,18203.00,8
71,15703793,738,133745.44,28373.86,2
72,15620344,813,.00,33953.87,6
73,15812518,657,163607.19,44203.55,0
74,15779052,604,157780.84,58426.81,5
75,15770811,519,.00,145562.41,9
76,15780961,735,178718.19,22388.00,1
77,15614049,664,.00,139161.64,8
78,15662085,678,.00,148210.64,9
79,15575185,757,77253.22,194239.63,5
80,15803136,416,122189.66,98301.61,10
81,15706021,665,96645.54,171413.66,1
82,15663706,777,.00,136458.19,2
83,15641732,543,.00,26019.59,3
84,15701164,506,90307.62,159235.30,4
85,15738751,493,.00,1907.66,4
86,15805254,652,.00,114675.75,10
87,15762418,750,121681.82,128643.35,3
88,15625759,729,.00,151869.34,9
89,15622897,646,.00,93251.42,4
90,15767954,635,81623.67,156791.36,3
91,15757535,647,.00,174205.22,5
92,15731511,808,118626.55,147132.45,7
93,15809248,524,.00,109614.57,10
94,15640635,769,.00,172290.61,8
95,15676966,730,.00,85982.47,4
96,15699461,515,176273.95,121277.78,10
97,15738721,773,102827.44,64595.25,9
98,15693683,814,97086.40,197276.13,8
99,15604348,710,.00,99645.04,8
100,15633059,413,.00,6534.18,9
101,15808582,665,.00,161848.03,6
102,15743192,623,.00,167162.44,6
103,15580146,738,82674.15,41970.72,9
104,15776605,528,.00,60536.56,7
105,15804919,670,.00,177655.69,1
106,15613854,622,107073.27,30984.59,4
107,15599195,582,88938.62,10054.53,1
108,15812878,785,99806.85,36976.52,2
109,15602312,605,150092.80,71862.79,5
110,15744689,479,92833.89,99449.86,9
111,15803526,685,90536.81,63082.88,3
112,15665790,538,108055.10,27231.26,7
113,15715951,562,100238.35,86797.41,2
114,15591100,675,106190.55,22994.32,9
115,15609618,721,154475.55,101300.94,9
116,15675522,628,132351.30,74169.13,9
117,15705512,668,167864.41,115638.29,6
118,15698028,506,.00,31766.30,1
119,15661670,524,107818.63,199725.39,8
120,15600781,699,185173.81,120834.48,4
121,15682472,828,129433.34,38131.77,8
122,15580203,674,120193.42,100130.95,6
123,15690673,656,.00,141069.88,6
124,15760085,684,126384.42,198129.36,10
125,15779659,625,.00,183646.41,3
126,15627360,432,152603.45,110265.24,9
127,15671137,549,.00,8636.05,1
128,15782688,625,148507.23,46824.08,0
129,15575492,828,.00,171378.77,7
130,15591607,770,101827.07,167256.34,9
131,15740404,758,.00,124226.16,3
132,15718369,795,130862.43,114935.21,9
133,15677871,687,122570.87,35608.88,9
134,15642004,686,.00,16459.37,1
135,15712543,789,124828.46,124411.08,7
136,15584518,589,144895.05,34941.23,5
137,15802381,461,63663.93,167784.28,5
138,15610156,637,133463.09,93165.34,2
139,15594408,584,213146.20,75161.25,2
140,15640905,579,129490.36,8590.83,1
141,15698932,756,137452.09,189543.91,10
142,15724944,663,.00,180427.23,7
143,15628145,682,125851.93,193318.33,5
144,15713483,793,.00,159123.81,2
145,15612350,691,40915.55,126213.84,5
146,15800703,485,113157.22,54141.50,5
147,15705707,635,138296.94,141075.52,8
148,15754105,650,106967.18,24495.03,5
149,15703264,735,120681.63,74836.34,9
150,15794413,416,.00,878.87,0
151,15650237,754,.00,89520.75,7
152,15759618,535,.00,149892.80,9
153,15811589,716,.00,180800.42,8
154,15689044,539,127609.59,98646.22,2
155,15709368,614,.00,109041.53,6
156,15679145,706,.00,17941.16,7
157,15655007,758,.00,82996.47,7
158,15623595,586,.00,92067.35,2
159,15589975,646,97259.25,104719.66,6
160,15804017,631,123246.70,112687.57,4
161,15692132,717,101060.25,84699.56,6
162,15641122,684,.00,83473.82,2
163,15630910,800,108007.36,47125.11,7
164,15680772,721,.00,106977.80,2
165,15658929,683,133702.89,55582.54,0
166,15585388,660,125189.75,139874.44,9
167,15724623,704,113034.22,162503.48,7
168,15588537,615,109013.23,196499.95,9
169,15574692,667,.00,40721.24,2
170,15611325,682,57929.81,53134.30,9
171,15587562,484,130114.39,164017.89,4
172,15613172,628,95826.49,155996.95,5
173,15651022,480,129608.57,5472.70,10
174,15586310,578,169462.09,112187.11,4
175,15625524,512,.00,146457.83,5
176,15755209,484,133868.20,27286.10,7
177,15645248,510,.00,130553.47,0
178,15790355,606,190479.48,179351.89,5
179,15762615,597,101993.12,94774.12,8
180,15625426,754,161608.81,8080.85,3
181,15716334,850,122311.21,19482.50,2
182,15789669,510,.00,48071.61,2
183,15621075,778,162150.42,174531.27,1
184,15810845,636,.00,55470.78,2
185,15719377,804,.00,8546.87,4
186,15654506,514,.00,95857.18,8
187,15771977,730,99010.67,194945.80,1
188,15708710,525,.00,131521.72,0
189,15726676,616,.00,196108.52,5
190,15587421,687,111388.18,148564.77,7
191,15726931,715,56214.85,92982.61,8
192,15771086,512,84327.77,17675.36,3
193,15756850,479,.00,114996.43,1
194,15702741,601,93012.89,86957.42,8
195,15679200,580,61710.44,128077.80,9
196,15594815,807,174790.16,600.36,3
197,15635905,616,.00,43001.46,6
198,15777892,721,107720.64,158591.13,3
199,15656176,501,.00,47847.19,10
200,15811127,521,96423.84,10488.44,6
