CardId,CustomerId,HasCrCard,Card_Type,Point_Earned
1,15634602,1,DIAMOND,464
2,15647311,0,DIAMOND,456
3,15619304,1,DIAMOND,377
4,15701354,0,GOLD,350
5,15737888,1,GOLD,425
6,15574012,1,DIAMOND,484
7,15592531,1,SILVER,206
8,15656148,1,DIAMOND,282
9,15792365,0,GOLD,251
10,15592389,1,GOLD,342
11,15767821,0,GOLD,264
12,15737173,1,GOLD,249
13,15632264,1,SILVER,119
14,15691483,0,PLATINUM,549
15,15600882,1,GOLD,318
16,15643966,0,GOLD,308
17,15737452,1,SILVER,163
18,15788218,1,SILVER,544
19,15661507,0,PLATINUM,732
20,15568982,1,GOLD,477
21,15577657,1,PLATINUM,568
22,15597945,1,DIAMOND,336
23,15699309,1,DIAMOND,887
24,15725737,0,SILVER,665
25,15625047,1,PLATINUM,225
26,15738191,0,PLATINUM,659
27,15736816,1,DIAMOND,236
28,15700772,0,PLATINUM,448
29,15728693,1,DIAMOND,499
30,15656300,1,GOLD,343
31,15589475,1,DIAMOND,298
32,15706552,0,SILVER,628
33,15750181,0,GOLD,611
34,15659428,1,SILVER,922
35,15732963,1,PLATINUM,276
36,15794171,1,DIAMOND,877
37,15788448,0,SILVER,471
38,15729599,0,GOLD,994
39,15717426,1,GOLD,944
40,15585768,0,GOLD,419
41,15619360,1,DIAMOND,545
42,15738148,0,SILVER,828
43,15687946,1,PLATINUM,789
44,15755196,0,GOLD,567
45,15684171,1,PLATINUM,884
46,15754849,1,SILVER,296
47,15602280,1,DIAMOND,779
48,15771573,1,SILVER,730
49,15766205,0,DIAMOND,960
50,15771873,1,SILVER,268
51,15616550,1,SILVER,829
52,15768193,0,SILVER,665
53,15683553,0,GOLD,982
54,15702298,0,SILVER,343
55,15569590,1,DIAMOND,225
56,15760861,1,SILVER,657
57,15630053,1,PLATINUM,221
58,15647091,0,PLATINUM,406
59,15623944,1,SILVER,549
60,15804771,1,PLATINUM,954
61,15651280,0,GOLD,823
62,15773469,0,DIAMOND,769
63,15702014,0,PLATINUM,481
64,15751208,1,SILVER,903
65,15592461,1,PLATINUM,882
66,15789484,1,GOLD,379
67,15696061,1,PLATINUM,469
68,15641582,1,PLATINUM,683
69,15638424,0,GOLD,770
70,15755648,1,SILVER,985
71,15703793,1,GOLD,725
72,15620344,1,PLATINUM,259
73,15812518,0,GOLD,979
74,15779052,1,SILVER,988
75,15770811,0,PLATINUM,833
76,15780961,1,PLATINUM,527
77,15614049,1,SILVER,220
78,15662085,1,GOLD,983
79,15575185,0,SILVER,582
80,15803136,1,SILVER,281
81,15706021,0,DIAMOND,798
82,15663706,1,SILVER,917
83,15641732,0,DIAMOND,255
84,15701164,1,SILVER,511
85,15738751,1,SILVER,498
86,15805254,1,DIAMOND,651
87,15762418,1,SILVER,852
88,15625759,1,DIAMOND,807
89,15622897,1,PLATINUM,470
90,15767954,1,DIAMOND,659
91,15757535,1,DIAMOND,752
92,15731511,1,SILVER,559
93,15809248,1,GOLD,375
94,15640635,1,DIAMOND,411
95,15676966,0,DIAMOND,722
96,15699461,0,GOLD,231
97,15738721,0,DIAMOND,488
98,15693683,1,GOLD,965
99,15604348,0,SILVER,289
100,15633059,0,PLATINUM,449
101,15808582,1,SILVER,651
102,15743192,0,DIAMOND,520
103,15580146,1,DIAMOND,234
104,15776605,1,SILVER,458
105,15804919,1,GOLD,915
106,15613854,1,GOLD,299
107,15599195,1,GOLD,838
108,15812878,0,PLATINUM,786
109,15602312,0,DIAMOND,509
110,15744689,1,DIAMOND,328
111,15803526,0,SILVER,347
112,15665790,1,SILVER,534
113,15715951,0,PLATINUM,709
114,15591100,0,SILVER,749
115,15609618,0,PLATINUM,541
116,15675522,1,GOLD,736
117,15705512,1,SILVER,529
118,15698028,1,GOLD,594
119,15661670,1,SILVER,462
120,15600781,1,PLATINUM,429
121,15682472,0,SILVER,370
122,15580203,0,PLATINUM,510
123,15690673,1,DIAMOND,638
124,15760085,1,GOLD,462
125,15779659,0,GOLD,718
126,15627360,1,DIAMOND,437
127,15671137,0,DIAMOND,485
128,15782688,1,PLATINUM,410
129,15575492,1,PLATINUM,666
130,15591607,1,GOLD,730
131,15740404,1,PLATINUM,375
132,15718369,1,GOLD,411
133,15677871,1,DIAMOND,595
134,15642004,0,DIAMOND,578
135,15712543,1,PLATINUM,377
136,15584518,1,GOLD,831
137,15802381,0,SILVER,497
138,15610156,0,PLATINUM,374
139,15594408,1,DIAMOND,814
140,15640905,0,GOLD,247
141,15698932,1,PLATINUM,965
142,15724944,1,SILVER,912
143,15628145,1,GOLD,462
144,15713483,1,GOLD,883
145,15612350,1,SILVER,402
146,15800703,1,GOLD,764
147,15705707,1,PLATINUM,608
148,15754105,0,PLATINUM,652
149,15703264,1,SILVER,520
150,15794413,0,GOLD,884
151,15650237,1,SILVER,800
152,15759618,1,GOLD,697
153,15811589,1,SILVER,427
154,15689044,1,DIAMOND,620
155,15709368,1,PLATINUM,318
156,15679145,1,GOLD,701
157,15655007,0,PLATINUM,953
158,15623595,1,PLATINUM,635
159,15589975,0,PLATINUM,250
160,15804017,0,SILVER,662
161,15692132,0,GOLD,666
162,15641122,1,DIAMOND,699
163,15630910,0,PLATINUM,855
164,15680772,1,SILVER,534
165,15658929,1,PLATINUM,388
166,15585388,1,GOLD,612
167,15724623,1,PLATINUM,801
168,15588537,1,PLATINUM,561
169,15574692,1,PLATINUM,308
170,15611325,0,SILVER,643
171,15587562,1,GOLD,249
172,15613172,1,SILVER,818
173,15651022,1,GOLD,775
174,15586310,1,DIAMOND,872
175,15625524,1,DIAMOND,435
176,15755209,1,SILVER,415
177,15645248,1,DIAMOND,430
178,15790355,0,PLATINUM,929
179,15762615,0,SILVER,681
180,15625426,1,GOLD,810
